artist_country,country_emoji,emoji_lookup,row_number(),url,emoji_label
Ireland,:flag_ie:,flag-ireland,33,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-ireland_1f1ee-1f1ea.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-ireland_1f1ee-1f1ea.png' width='25'/>
Montenegro,:flag_me:,flag-montenegro,34,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-montenegro_1f1f2-1f1ea.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-montenegro_1f1f2-1f1ea.png' width='25'/>
Georgia,:flag_ge:,flag-georgia,35,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-georgia_1f1ec-1f1ea.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-georgia_1f1ec-1f1ea.png' width='25'/>
United Kingdom,:flag_gb:,flag-united kingdom,36,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/240/apple/325/flag-united-kingdom_1f1ec-1f1e7.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/240/apple/325/flag-united-kingdom_1f1ec-1f1e7.png' width='25'/>
Spain,:flag_es:,flag-spain,37,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-spain_1f1ea-1f1f8.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-spain_1f1ea-1f1f8.png' width='25'/>
Italy,:flag_it:,flag-italy,38,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-italy_1f1ee-1f1f9.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-italy_1f1ee-1f1f9.png' width='25'/>
France,:flag_fr:,flag-france,39,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-france_1f1eb-1f1f7.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-france_1f1eb-1f1f7.png' width='25'/>
Germany,:flag_de:,flag-germany,40,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-germany_1f1e9-1f1ea.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-germany_1f1e9-1f1ea.png' width='25'/>
Russia,:flag_ru:,flag-russia,41,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-russia_1f1f7-1f1fa.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-russia_1f1f7-1f1fa.png' width='25'/>
Belarus,:flag_by:,flag-belarus,42,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-belarus_1f1e7-1f1fe.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-belarus_1f1e7-1f1fe.png' width='25'/>
